Patent Number - Numéro du brevet|Foreign Application/Patent Number - Numéro du brevet étranger / national|Priority Claim Kind Code - Code de type de revendications de priorité|Priority Claim Country Code - Code du pays d'origine de revendications de priorité|Priority Claim Country - Pays d'origine de revendications de priorité|Priority Claim Calendar Dt - Date de revendications de priorité|id
39992|95870126.0|INTERNATIONAL|EP|European Patent Office (EPO)| 1995-12-07|1
1062591|568,221|INTERNATIONAL|US|United States of America| 1975-04-15|2
1062770|EN. 75 35 470|INTERNATIONAL|FR|France| 1975-11-20|3
1081500|603,595|INTERNATIONAL|US|United States of America| 1975-08-11|4
1081502|7614559-8|INTERNATIONAL|SE|Sweden| 1976-12-27|5
1081502|7614558-0|INTERNATIONAL|SE|Sweden| 1976-12-27|6
1081503|796,620|INTERNATIONAL|US|United States of America| 1977-05-13|7
1081505|778,610|INTERNATIONAL|US|United States of America| 1977-03-17|8
1081506|89781/1975|INTERNATIONAL|JP|Japan| 1975-07-22|9
1081506|89541/1975|INTERNATIONAL|JP|Japan| 1975-07-21|10
1081509|670,965|INTERNATIONAL|US|United States of America| 1976-03-26|11
1081510|774,508|INTERNATIONAL|US|United States of America| 1977-03-08|12
1081511|7600423|INTERNATIONAL|NL|Netherlands (Kingdom of the)| 1976-01-16|13
1081512|663,397|INTERNATIONAL|US|United States of America| 1976-03-03|14
1081513|681,371|INTERNATIONAL|US|United States of America| 1976-04-29|15
1081514|653,422|INTERNATIONAL|US|United States of America| 1976-01-29|16
1081515|123599/77|INTERNATIONAL|JP|Japan| 1977-10-17|17
1081516|645,928|INTERNATIONAL|US|United States of America| 1975-12-31|18
1081517|10112/76|INTERNATIONAL|CH|Switzerland| 1976-08-05|19
1081518|756,433|INTERNATIONAL|US|United States of America| 1977-01-03|20
1081519|648,725|INTERNATIONAL|US|United States of America| 1976-01-13|21
1081520|P 25 22 692.0|INTERNATIONAL|DE|Germany| 1975-05-22|22
1081521|567,668|INTERNATIONAL|US|United States of America| 1975-04-14|23
1081522|609,896|INTERNATIONAL|US|United States of America| 1975-09-02|24
1081523|111958/l974|INTERNATIONAL|JP|Japan| 1974-09-28|25
1081523|111957/1974|INTERNATIONAL|JP|Japan| 1974-09-28|26
1081523|66831/1975|INTERNATIONAL|JP|Japan| 1975-06-02|27
1081524|789,799|INTERNATIONAL|US|United States of America| 1977-04-22|28
1081525|628,186|INTERNATIONAL|US|United States of America| 1975-11-03|29
1081526|710,237|INTERNATIONAL|US|United States of America| 1976-08-02|30
1081527|809,901|INTERNATIONAL|US|United States of America| 1977-06-24|31
1081529|650,252|INTERNATIONAL|US|United States of America| 1976-01-19|32
1081530|75 23441|INTERNATIONAL|FR|France| 1975-07-28|33
1081532|599,669|INTERNATIONAL|US|United States of America| 1975-07-28|34
1081533|751,269|INTERNATIONAL|US|United States of America| 1976-12-17|35
1081534|58224/76|INTERNATIONAL|JP|Japan| 1976-05-19|36
1081535|677,987|INTERNATIONAL|US|United States of America| 1976-04-19|37
1081536|700,417|INTERNATIONAL|US|United States of America| 1976-06-28|38
1081537|001155/77|INTERNATIONAL|CH|Switzerland| 1977-01-28|39
1081537|005024/76|INTERNATIONAL|CH|Switzerland| 1976-04-23|40
1081538|319/77|INTERNATIONAL|GB|United Kingdom| 1977-01-06|41
1081539|670,137|INTERNATIONAL|US|United States of America| 1976-03-25|42
1081542|760,049|INTERNATIONAL|US|United States of America| 1977-01-17|43
1081543|779,394|INTERNATIONAL|US|United States of America| 1977-03-21|44
1081544|824,341|INTERNATIONAL|US|United States of America| 1977-08-15|45
1081545|804,970|INTERNATIONAL|US|United States of America| 1977-06-09|46
1081546|792,249|INTERNATIONAL|US|United States of America| 1977-04-29|47
